0,1,2,3,4
Transformer,Huber,256,100,3650835.9999999995
Transformer,KnnRegression,128,250,3652284.36
Bidirectional LSTM,KnnRegression,256,50,3655693.95
Transformer,Linear,64,50,3658835.61
GRU,ElasticNet,256,250,3661007.0599999996
Transformer,RandomForestRegressor,64,50,3661347.8699999996
GRU,Ridge,256,150,3663873.72
GRU,ExtraTreesRegressor,128,50,3670449.45
Transformer,ElasticNet,128,250,3670980.5300000003
GRU,ElasticNet,256,200,3671587.36
Transformer,ExtraTreesRegressor,64,250,3676084.25
GRU,LightGBM,256,200,3676838.81
Transformer,GradientBoostingRegressor,128,100,3679488.73
GRU,RandomForestRegressor,128,200,3683246.29
Transformer,GradientBoostingRegressor,128,300,3683373.46
Transformer,Linear,256,300,3685690.6900000004
GRU,Huber,128,250,3685898.63
GRU,VotingRegressor,128,100,3692386.4499999997
Transformer,XGBoost,128,300,3702791.49
Transformer,ExtraTreesRegressor,64,300,3704454.09
GRU,Lasso,128,200,3708159.99
Transformer,CatBoost,64,200,3708603.64
GRU,Linear,128,150,3714480.26
LSTM,Lasso,256,250,3716224.75
Transformer,Lasso,128,150,3717524.2099999995
Bidirectional LSTM,Linear,128,50,3720778.59
GRU,ElasticNet,256,150,3721301.61
Bidirectional LSTM,Linear,128,200,3722911.1700000004
GRU,XGBoost,256,150,3731816.72
Transformer,Linear,128,150,3735883.96
GRU,ExtraTreesRegressor,64,100,3736852.3499999996
Simple RNN,ExtraTreesRegressor,128,100,3761320.58
Transformer,RandomForestRegressor,256,100,3765760.32
Bidirectional LSTM,ExtraTreesRegressor,128,250,3769565.12
Bidirectional LSTM,RandomForestRegressor,256,100,3772987.5600000005
Transformer,LightGBM,128,200,3777540.33
Transformer,KnnRegression,64,150,3787298.99
Transformer,VotingRegressor,128,300,3799351.86
Transformer,SupportVectorRegressor,256,250,3799567.14
Transformer,XGBoost,64,100,3800878.76
GRU,KnnRegression,128,150,3816219.71
Simple RNN,KnnRegression,256,100,3818191.0300000003
Bidirectional LSTM,VotingRegressor,256,250,3818841.85
Transformer,XGBoost,256,100,3819922.31
GRU,SupportVectorRegressor,128,250,3824289.84
GRU,GradientBoostingRegressor,128,200,3830019.7199999997
LSTM,Lasso,128,200,3833592.39
Transformer,CatBoost,128,200,3837261.1599999997
Transformer,SupportVectorRegressor,256,150,3840776.99
Transformer,RandomForestRegressor,64,250,3848479.12
Bidirectional LSTM,RandomForestRegressor,256,200,3849730.2
Transformer,LightGBM,256,200,3851113.5
Transformer,Ridge,256,50,3854467.17
GRU,KnnRegression,128,50,3857714.92
GRU,ExtraTreesRegressor,256,200,3868371.5300000003
Transformer,LightGBM,64,300,3877053.96
Transformer,SupportVectorRegressor,128,150,3894236.64
Transformer,CatBoost,64,150,3904218.8
Transformer,GradientBoostingRegressor,256,300,3904854.4800000004
GRU,ElasticNet,128,200,3912075.52
GRU,Linear,256,200,3913582.65
Transformer,Huber,64,100,3916604.9
Transformer,SupportVectorRegressor,256,200,3918122.1500000004
Transformer,KnnRegression,128,200,3926538.65
Bidirectional LSTM,GradientBoostingRegressor,256,50,3927731.11
Simple RNN,ExtraTreesRegressor,128,150,3931527.6
Simple RNN,ExtraTreesRegressor,128,250,3931791.4099999997
LSTM,Linear,128,100,3934723.3699999996
Transformer,ElasticNet,64,50,3934976.4699999997
Transformer,ExtraTreesRegressor,256,250,3947271.56
GRU,CatBoost,256,100,3954981.8
LSTM,Lasso,128,100,3956767.8800000004
GRU,ElasticNet,128,150,3963164.7
Transformer,VotingRegressor,256,150,3965035.0100000002
Transformer,LightGBM,256,250,3972848.22
Transformer,Huber,256,300,3973138.84
Transformer,CatBoost,64,100,3973871.7400000007
Bidirectional LSTM,ExtraTreesRegressor,128,200,3974380.8299999996
Transformer,GradientBoostingRegressor,256,150,3983313.3999999994
Transformer,ExtraTreesRegressor,256,300,3993595.8
GRU,SupportVectorRegressor,128,150,4006016.17
Transformer,Huber,128,100,4053016.72
Transformer,Huber,256,150,4069079.23
Transformer,SupportVectorRegressor,64,250,4106849.1900000004
Transformer,XGBoost,64,300,4121184.54
Transformer,ElasticNet,128,300,4124748.5200000005
Transformer,GradientBoostingRegressor,256,50,4127908.32
Transformer,Huber,256,200,4130140.25
Transformer,Lasso,256,300,4141135.89
GRU,XGBoost,256,250,4149169.61
Transformer,Huber,128,50,4151229.88
GRU,LightGBM,128,200,4157533.1599999997
GRU,RandomForestRegressor,256,250,4170013.86
Transformer,KnnRegression,256,250,4175002.35
Bidirectional LSTM,KnnRegression,256,150,4176824.7300000004
GRU,Lasso,256,200,4226707.85
Transformer,CatBoost,128,250,4257349.79
Bidirectional LSTM,VotingRegressor,128,200,4273295.56
Transformer,Ridge,128,250,4282923.0
GRU,Huber,128,150,4287817.65
Transformer,VotingRegressor,64,250,4294261.36
Transformer,ExtraTreesRegressor,256,50,4308984.14
Transformer,GradientBoostingRegressor,256,200,4380278.0200000005
GRU,Lasso,256,100,4383980.890000001
GRU,SupportVectorRegressor,128,100,4387382.84
Transformer,Ridge,256,200,4396800.88
GRU,VotingRegressor,256,300,4415563.72
GRU,LightGBM,128,150,4422423.16
Transformer,XGBoost,128,250,4434877.5600000005
Transformer,GradientBoostingRegressor,128,250,4436056.91
Transformer,LightGBM,128,50,4446052.95
Transformer,GradientBoostingRegressor,64,300,4455629.37
GRU,VotingRegressor,128,300,4472095.279999999
Transformer,ElasticNet,64,150,4472602.72
GRU,ExtraTreesRegressor,64,300,4488261.25
GRU,Linear,256,150,4489052.62
Bidirectional LSTM,RandomForestRegressor,256,250,4501495.5600000005
Transformer,XGBoost,64,150,4506744.52
Transformer,LightGBM,64,250,4514101.16
Transformer,GradientBoostingRegressor,64,200,4532793.5
GRU,KnnRegression,128,300,4606495.49
Transformer,Lasso,256,250,4612526.36
Transformer,Huber,128,300,4684138.6899999995
Transformer,RandomForestRegressor,128,100,4687234.25
Bidirectional LSTM,VotingRegressor,128,250,4688385.36
GRU,SupportVectorRegressor,128,200,4698085.35
Transformer,Huber,128,250,4761099.61
Transformer,Ridge,128,300,4765054.06
Transformer,Ridge,128,200,4765967.51
Transformer,VotingRegressor,64,300,4789983.31
Transformer,ElasticNet,128,200,4802266.9399999995
Bidirectional LSTM,Linear,128,250,4805064.51
GRU,GradientBoostingRegressor,128,150,4822762.350000001
Transformer,KnnRegression,128,150,4851553.75
GRU,Linear,128,300,4932260.92
Transformer,XGBoost,128,50,5003459.6899999995
GRU,KnnRegression,128,250,5021476.359999999
Bidirectional LSTM,ExtraTreesRegressor,128,150,5033614.340000001
GRU,RandomForestRegressor,256,200,5068982.78
GRU,GradientBoostingRegressor,128,250,5192294.460000001
Bidirectional LSTM,RandomForestRegressor,128,150,5201681.77
Transformer,ElasticNet,64,200,5245618.29
Transformer,KnnRegression,128,300,5361942.5
Bidirectional LSTM,ExtraTreesRegressor,256,250,5387236.69
Transformer,RandomForestRegressor,256,300,5388228.87
GRU,SupportVectorRegressor,128,300,5400015.2700000005
GRU,Linear,256,300,5422925.609999999
Transformer,CatBoost,128,100,5438347.670000001
GRU,VotingRegressor,128,250,5485979.0
