0,1,2,3,4
Transformer,Ridge,128,250,4282923.0
Transformer,Ridge,128,300,0
Transformer,Ridge,64,50,0
Transformer,Ridge,64,100,0
Transformer,Ridge,64,150,0
Transformer,Ridge,64,200,0
Transformer,Ridge,64,250,0
Transformer,Ridge,64,300,0
LSTM,ExtraTreesRegressor,256,50,3446183.67
LSTM,ExtraTreesRegressor,256,100,0
LSTM,ExtraTreesRegressor,256,150,0
LSTM,ExtraTreesRegressor,256,200,0
LSTM,ExtraTreesRegressor,256,250,0
LSTM,ExtraTreesRegressor,256,300,0
LSTM,ExtraTreesRegressor,128,50,0
LSTM,ExtraTreesRegressor,128,100,0
LSTM,ExtraTreesRegressor,128,150,0
LSTM,ExtraTreesRegressor,128,200,0
LSTM,ExtraTreesRegressor,128,250,0
LSTM,ExtraTreesRegressor,128,300,0
LSTM,ExtraTreesRegressor,64,50,0
LSTM,ExtraTreesRegressor,64,100,0
LSTM,ExtraTreesRegressor,64,150,0
LSTM,ExtraTreesRegressor,64,200,0
LSTM,ExtraTreesRegressor,64,250,0
LSTM,ExtraTreesRegressor,64,300,0
LSTM,KnnRegression,256,50,0
LSTM,KnnRegression,256,100,0
LSTM,KnnRegression,256,150,0
LSTM,KnnRegression,256,200,0
LSTM,KnnRegression,256,250,0
LSTM,KnnRegression,256,300,0
LSTM,KnnRegression,128,50,0
LSTM,KnnRegression,128,100,0
LSTM,KnnRegression,128,150,0
LSTM,KnnRegression,128,200,0
LSTM,KnnRegression,128,250,0
LSTM,KnnRegression,128,300,0
LSTM,KnnRegression,64,50,0
LSTM,KnnRegression,64,100,0
LSTM,KnnRegression,64,150,0
LSTM,KnnRegression,64,200,0
LSTM,KnnRegression,64,250,0
LSTM,KnnRegression,64,300,0
LSTM,VotingRegressor,256,50,0
LSTM,VotingRegressor,256,100,0
LSTM,VotingRegressor,256,150,0
LSTM,VotingRegressor,256,200,0
LSTM,VotingRegressor,256,250,0
LSTM,VotingRegressor,256,300,0
LSTM,VotingRegressor,128,50,0
LSTM,VotingRegressor,128,100,0
LSTM,VotingRegressor,128,150,0
LSTM,VotingRegressor,128,200,0
LSTM,VotingRegressor,128,250,0
LSTM,VotingRegressor,128,300,0
LSTM,VotingRegressor,64,50,0
LSTM,VotingRegressor,64,100,0
LSTM,VotingRegressor,64,150,0
LSTM,VotingRegressor,64,200,0
LSTM,VotingRegressor,64,250,0
LSTM,VotingRegressor,64,300,0
LSTM,Linear,256,50,0
LSTM,Linear,256,100,0
LSTM,Linear,256,150,0
LSTM,Linear,256,200,0
LSTM,Linear,256,250,0
LSTM,Linear,256,300,0
LSTM,Linear,128,50,0
LSTM,Linear,128,100,0
LSTM,Linear,128,150,0
LSTM,Linear,128,200,0
LSTM,Linear,128,250,0
LSTM,Linear,128,300,0
LSTM,Linear,64,50,0
LSTM,Linear,64,100,0
LSTM,Linear,64,150,0
LSTM,Linear,64,200,0
LSTM,Linear,64,250,0
LSTM,Linear,64,300,0
LSTM,RandomForestRegressor,256,50,0
LSTM,RandomForestRegressor,256,100,0
LSTM,RandomForestRegressor,256,150,0
LSTM,RandomForestRegressor,256,200,0
LSTM,RandomForestRegressor,256,250,0
LSTM,RandomForestRegressor,256,300,0
LSTM,RandomForestRegressor,128,50,0
LSTM,RandomForestRegressor,128,100,0
LSTM,RandomForestRegressor,128,150,0
LSTM,RandomForestRegressor,128,200,0
LSTM,RandomForestRegressor,128,250,0
LSTM,RandomForestRegressor,128,300,0
LSTM,RandomForestRegressor,64,50,0
LSTM,RandomForestRegressor,64,100,0
LSTM,RandomForestRegressor,64,150,0
LSTM,RandomForestRegressor,64,200,0
LSTM,RandomForestRegressor,64,250,0
LSTM,RandomForestRegressor,64,300,0
LSTM,GradientBoostingRegressor,256,50,0
LSTM,GradientBoostingRegressor,256,100,0
LSTM,GradientBoostingRegressor,256,150,0
LSTM,GradientBoostingRegressor,256,200,0
LSTM,GradientBoostingRegressor,256,250,0
LSTM,GradientBoostingRegressor,256,300,0
LSTM,GradientBoostingRegressor,128,50,0
LSTM,GradientBoostingRegressor,128,100,0
LSTM,GradientBoostingRegressor,128,150,0
LSTM,GradientBoostingRegressor,128,200,0
LSTM,GradientBoostingRegressor,128,250,0
LSTM,GradientBoostingRegressor,128,300,0
LSTM,GradientBoostingRegressor,64,50,0
LSTM,GradientBoostingRegressor,64,100,0
LSTM,GradientBoostingRegressor,64,150,0
LSTM,GradientBoostingRegressor,64,200,0
LSTM,GradientBoostingRegressor,64,250,0
LSTM,GradientBoostingRegressor,64,300,0
LSTM,SupportVectorRegressor,256,50,0
LSTM,SupportVectorRegressor,256,100,0
LSTM,SupportVectorRegressor,256,150,0
LSTM,SupportVectorRegressor,256,200,0
LSTM,SupportVectorRegressor,256,250,0
LSTM,SupportVectorRegressor,256,300,0
LSTM,SupportVectorRegressor,128,50,0
LSTM,SupportVectorRegressor,128,100,0
LSTM,SupportVectorRegressor,128,150,0
LSTM,SupportVectorRegressor,128,200,0
LSTM,SupportVectorRegressor,128,250,0
LSTM,SupportVectorRegressor,128,300,0
LSTM,SupportVectorRegressor,64,50,0
LSTM,SupportVectorRegressor,64,100,0
LSTM,SupportVectorRegressor,64,150,0
LSTM,SupportVectorRegressor,64,200,0
LSTM,SupportVectorRegressor,64,250,0
LSTM,SupportVectorRegressor,64,300,0
LSTM,XGBoost,256,50,0
LSTM,XGBoost,256,100,0
LSTM,XGBoost,256,150,0
LSTM,XGBoost,256,200,0
